"","species","aou","shiftdistance","velocity","direction","abundance","distanceratio","analysis","sppnumber"
"82","Downy Woodpecker",3940,76.0093208204837,1.61721959192519,NA,"increasing",0.159038334146328,"By strata",12
"83","Pileated Woodpecker",4050,177.449578910563,3.7755229555439,"north","increasing",0.406376679246068,"By strata",13
"84","Red-bellied Woodpecker",4090,140.611388484979,2.99173166989316,"northeast","increasing",0.592565098924452,"By strata",14
"85","Steller's Jay",4780,125.550887932845,2.67129548793288,NA,"decreasing",0.169392914240438,"By strata",15
"86","Common Raven",4860,272.792828352385,5.80410273090182,"west","increasing",0.229187691148002,"By strata",17
"87","Fish Crow",4900,204.278830405084,4.34635809372519,"north","decreasing",0.32362113941231,"By strata",18
"88","Great-tailed Grackle",5120,528.970081539974,11.2546825859569,"northwest","decreasing",0.535890889886345,"By strata",19
"89","Lesser Goldfinch",5300,130.207026096016,2.77036225736203,NA,"decreasing",0.177645267524076,"By strata",20
"90","Rufous-crowned Sparrow",5800,152.961971787174,3.25451003802498,NA,"decreasing",0.212895442017486,"By strata",21
"91","Northern Cardinal",5930,100.176366049109,2.13141204359806,"northeast","increasing",0.627371160785313,"By strata",22
"92","Pyrrhuloxia",5940,184.381679214615,3.9230144513748,"northwest","decreasing",0.339399310646187,"By strata",23
"93","Northern Mockingbird",7030,35.4052362304477,0.753302898520163,"north","decreasing",0.0938891555979917,"By strata",24
"94","Curve-billed Thrasher",7070,243.233000444756,5.17517022222886,"north","decreasing",0.245653890294956,"By strata",25
"95","Carolina Wren",7180,149.502603957651,3.18090646718406,"northeast","increasing",0.355403062787668,"By strata",26
"96","White-breasted Nuthatch",7270,247.730738064631,5.27086676733257,"east","increasing",0.355527580424943,"By strata",27
"97","Brown-headed Nuthatch",7290,256.737195996253,5.46249353183516,"northeast","decreasing",0.569601049015234,"By strata",28
"98","Pygmy Nuthatch",7300,44.6130292565751,0.949213388437769,NA,"decreasing",0.0479349454989444,"By strata",29
"99","Tufted Titmouse",7310,188.056903290157,4.00121070830121,"northeast","increasing",0.542069983881993,"By strata",30
"100","Black-capped Chickadee",7350,520.773252712092,11.0802819725977,"east","increasing",0.678554519505526,"By strata",31
"101","Carolina Chickadee",7360,84.8487012177378,1.80529151527102,NA,"increasing",0.185318212648144,"By strata",32
"102","Mountain Chickadee",7380,109.118385293616,2.32166777220459,NA,"decreasing",0.17134710267267,"By strata",33
"103","Chestnut-backed Chickadee",7410,377.169604544212,8.02488520306835,NA,"decreasing",0.379055103386278,"By strata",34
"104","Bushtit",7430,167.185365971879,3.5571354462102,NA,"decreasing",0.126925248364186,"By strata",35
"105","Verdin",7460,75.7917956750299,1.61259139734106,NA,"decreasing",0.120660114152102,"By strata",36
"106","Northern Bobwhite",2890,523.646348053892,11.1414116607211,"west","decreasing",0.805908678613684,"By strata with weighted abund.",1
"107","Scaled Quail",2930,139.659423334499,2.97147709222338,"north","decreasing",0.418515457567349,"By strata with weighted abund.",2
"108","California Quail",2940,199.544756993938,4.2456331275306,"east","increasing",0.258427243911881,"By strata with weighted abund.",3
"109","Sharp-tailed Grouse",3080,327.312704586545,6.96410009758606,"east","increasing",0.362812837133525,"By strata with weighted abund.",4
"110","Wild Turkey",3100,556.811705456854,11.8470575629118,"north","increasing",0.378801633062401,"By strata with weighted abund.",5
"111","Common Ground-Dove",3200,375.999063140587,7.99998006682099,"west","decreasing",0.359261448706668,"By strata with weighted abund.",6
"112","Inca Dove",3210,525.715664325093,11.1854396664913,"east","decreasing",0.367681929379928,"By strata with weighted abund.",7
"113","Black Vulture",3260,103.131651671379,2.19429046109317,NA,"increasing",0.121437308694132,"By strata with weighted abund.",8
"114","Great Horned Owl",3750,95.2983536120856,2.02762454493799,"south","decreasing",0.106367246262777,"By strata with weighted abund.",9
"115","Greater Roadrunner",3850,209.050778766841,4.44788890993279,"east","increasing",0.308864174596853,"By strata with weighted abund.",10
"116","Hairy Woodpecker",3930,201.62556850652,4.28990571290469,"north","increasing",0.343727264241568,"By strata with weighted abund.",11
"117","Downy Woodpecker",3940,76.0093208204837,1.61721959192519,NA,"increasing",0.159038334146328,"By strata with weighted abund.",12
"118","Pileated Woodpecker",4050,177.449578910563,3.7755229555439,"north","increasing",0.406376679246068,"By strata with weighted abund.",13
"119","Red-bellied Woodpecker",4090,140.611388484979,2.99173166989316,"northeast","increasing",0.592565098924452,"By strata with weighted abund.",14
"120","Steller's Jay",4780,125.550887932845,2.67129548793288,NA,"decreasing",0.169392914240438,"By strata with weighted abund.",15
"121","Common Raven",4860,272.792828352385,5.80410273090182,"west","increasing",0.229187691148002,"By strata with weighted abund.",17
"122","Fish Crow",4900,204.278830405084,4.34635809372519,"north","decreasing",0.32362113941231,"By strata with weighted abund.",18
"123","Great-tailed Grackle",5120,528.970081539974,11.2546825859569,"northwest","decreasing",0.535890889886345,"By strata with weighted abund.",19
"124","Lesser Goldfinch",5300,130.207026096016,2.77036225736203,NA,"decreasing",0.177645267524076,"By strata with weighted abund.",20
"125","Rufous-crowned Sparrow",5800,152.961971787174,3.25451003802498,NA,"decreasing",0.212895442017486,"By strata with weighted abund.",21
"126","Northern Cardinal",5930,100.176366049109,2.13141204359806,"northeast","increasing",0.627371160785313,"By strata with weighted abund.",22
"127","Pyrrhuloxia",5940,184.381679214615,3.9230144513748,"northwest","decreasing",0.339399310646187,"By strata with weighted abund.",23
"128","Northern Mockingbird",7030,35.4052362304477,0.753302898520163,"north","decreasing",0.0938891555979917,"By strata with weighted abund.",24
"129","Curve-billed Thrasher",7070,243.233000444756,5.17517022222886,"north","decreasing",0.245653890294956,"By strata with weighted abund.",25
"130","Carolina Wren",7180,149.502603957651,3.18090646718406,"northeast","increasing",0.355403062787668,"By strata with weighted abund.",26
"131","White-breasted Nuthatch",7270,247.730738064631,5.27086676733257,"east","increasing",0.355527580424943,"By strata with weighted abund.",27
"132","Brown-headed Nuthatch",7290,256.737195996253,5.46249353183516,"northeast","decreasing",0.569601049015234,"By strata with weighted abund.",28
"133","Pygmy Nuthatch",7300,44.6130292565751,0.949213388437769,NA,"decreasing",0.0479349454989444,"By strata with weighted abund.",29
"134","Tufted Titmouse",7310,188.056903290157,4.00121070830121,"northeast","increasing",0.542069983881993,"By strata with weighted abund.",30
"135","Black-capped Chickadee",7350,520.773252712092,11.0802819725977,"east","increasing",0.678554519505526,"By strata with weighted abund.",31
"136","Carolina Chickadee",7360,84.8487012177378,1.80529151527102,NA,"increasing",0.185318212648144,"By strata with weighted abund.",32
"137","Mountain Chickadee",7380,109.118385293616,2.32166777220459,NA,"decreasing",0.17134710267267,"By strata with weighted abund.",33
"138","Chestnut-backed Chickadee",7410,377.169604544212,8.02488520306835,NA,"decreasing",0.379055103386278,"By strata with weighted abund.",34
"139","Bushtit",7430,167.185365971879,3.5571354462102,NA,"decreasing",0.126925248364186,"By strata with weighted abund.",35
"140","Verdin",7460,75.7917956750299,1.61259139734106,NA,"decreasing",0.120660114152102,"By strata with weighted abund.",36
"141","Northern Bobwhite",2890,382,8.68,"northwest","decreasing",NA,"Huang et al.",1
"142","Scaled Quail",2930,49,1.11,"west","decreasing",NA,"Huang et al.",2
"143","California Quail",2940,66,1.5,"east","increasing",NA,"Huang et al.",3
"144","Sharp-tailed Grouse",3080,243,5.52,"east","stable",NA,"Huang et al.",4
"145","Wild Turkey",3100,743,16.89,"northeast","increasing",NA,"Huang et al.",5
"146","Common Ground-Dove",3200,598,13.59,"west","stable",NA,"Huang et al.",6
"147","Inca Dove",3210,463,10.52,"east","increasing",NA,"Huang et al.",7
"148","Black Vulture",3260,339,7.7,"northwest","increasing",NA,"Huang et al.",8
"149","Great Horned Owl",3750,935,21.25,"southeast","decreasing",NA,"Huang et al.",9
"150","Greater Roadrunner",3850,229,5.2,"east","stable",NA,"Huang et al.",10
"151","Hairy Woodpecker",3930,198,4.5,"east","increasing",NA,"Huang et al.",11
"152","Downy Woodpecker",3940,113,2.57,"east","increasing",NA,"Huang et al.",12
"153","Pileated Woodpecker",4050,286,6.5,"northeast","increasing",NA,"Huang et al.",13
"154","Red-bellied Woodpecker",4090,137,3.11,"northwest","increasing",NA,"Huang et al.",14
"155","Steller's Jay",4780,97,2.2,"northwest","stable",NA,"Huang et al.",15
"156","Common Raven",4860,308,7,"west","increasing",NA,"Huang et al.",17
"157","Fish Crow",4900,199,4.52,"northwest","increasing",NA,"Huang et al.",18
"158","Great-tailed Grackle",5120,294,6.68,"northwest","increasing",NA,"Huang et al.",19
"159","Lesser Goldfinch",5300,269,6.11,"northwest","stable",NA,"Huang et al.",20
"160","Rufous-crowned Sparrow",5800,286,6.5,"northwest","decreasing",NA,"Huang et al.",21
"161","Northern Cardinal",5930,65,1.48,"northwest","increasing",NA,"Huang et al.",22
"162","Pyrrhuloxia",5940,230,5.23,"northwest","decreasing",NA,"Huang et al.",23
"163","Northern Mockingbird",7030,51,1.16,"north","decreasing",NA,"Huang et al.",24
"164","Curve-billed Thrasher",7070,199,4.52,"north","decreasing",NA,"Huang et al.",25
"165","Carolina Wren",7180,94,2.14,"northwest","increasing",NA,"Huang et al.",26
"166","White-breasted Nuthatch",7270,369,8.39,"east","increasing",NA,"Huang et al.",27
"167","Brown-headed Nuthatch",7290,122,2.78,"northeast","stable",NA,"Huang et al.",28
"168","Pygmy Nuthatch",7300,237,5.39,"north","stable",NA,"Huang et al.",29
"169","Tufted Titmouse",7310,99,2.25,"northeast","increasing",NA,"Huang et al.",30
"170","Black-capped Chickadee",7350,813,18.48,"east","increasing",NA,"Huang et al.",31
"171","Carolina Chickadee",7360,23,0.52,"north","decreasing",NA,"Huang et al.",32
"172","Mountain Chickadee",7380,177,4.02,"northwest","decreasing",NA,"Huang et al.",33
"173","Chestnut-backed Chickadee",7410,27,0.61,"east","decreasing",NA,"Huang et al.",34
"174","Bushtit",7430,145,3.3,"east","stable",NA,"Huang et al.",35
"175","Verdin",7460,258,5.83,"southeast","decreasing",NA,"Huang et al.",36
